mm,|b|,u_b_rel_%,u_b_abs_uT
270,0.56,22.77777777777778,0.12755555555555556
281,0.56,21.929917409619577,0.12280753749386963
280,1.02,22.004174001070517,0.22444257481091928
279,1.54,22.078976690525646,0.34001624103409495
277,0.51,22.230244051804082,0.11337424466420082
279,1.54,22.078976690525646,0.34001624103409495
274,1.22,22.461391149846037,0.27402897202812165
276,1.49,22.306720782322344,0.3323701396566029
276,1.54,22.306720782322344,0.3435235000477641
272,1.49,22.61839285850633,0.3370140535917443
276,0.56,22.306720782322344,0.12491763638100513
261,0.51,23.525972806361594,0.11998246131244414
255,2.72,24.054796153638044,0.6542904553789548
255,1.85,24.054796153638044,0.44501372884230384
257,1.85,23.875717522306086,0.4417007741626626
253,2.76,24.236767720956383,0.6689347890983961
254,2.76,24.14541604533316,0.6664134828511952
248,1.49,24.704812963444855,0.36810171315532836
245,2.73,24.995001582782145,0.6823635432099525
242,2.72,25.292530712219442,0.6879568353723688
242,4.61,25.292530712219442,1.1659856658333163
239,5.48,25.5976769885122,1.4027526989704688
237,4.48,25.805482537976026,1.1560856177013261
231,8.48,26.45089838359703,2.243036182929028
232,4.48,26.340968303712188,1.1800753800063062
231,5.55,26.45089838359703,1.4680248602896349
226,7.48,27.01540329212978,2.0207521662513077
226,7.83,27.01540329212978,2.115306077773762
227,5.95,26.900478056938393,1.6005784443878344
223,8.81,27.366469744400533,2.4109859844816874
223,7.83,27.366469744400533,2.142794580986562
218,7.83,27.973415843259186,2.190318460527194
222,6.58,27.485636065400588,1.8085548531033586
215,6.48,28.35135536443612,1.8371678276154608
217,8.55,28.09821627999911,2.402397491939924
213,8.52,28.609322859745497,2.437514307650316
216,10.54,28.22419065751231,2.974829695301797
209,10.58,29.140297804134434,3.083043507677423
210,9.55,29.00562929178136,2.77003759736512
206,11.53,29.552264180945237,3.4073760600629854
205,11.53,29.692304669282038,3.423522728368219
199,12.53,30.56252530190321,3.829484420328472
200,14.55,30.413812651491096,4.425209740791955
194,14.56,31.329394838963324,4.56155988855306
195,15.62,31.172833719926356,4.869196627052497
190,17.51,31.972330488994803,5.598355068622991
191,16.54,31.809040450976916,5.261215290591582
185,16.54,32.815585831800945,5.427697896579876
186,19.51,32.64326463953541,6.368700931173359
181,20.61,33.52413393266724,6.909324003522718
178,21.51,34.07668079817086,7.329894039686553
178,22.58,34.07668079817086,7.69451452422698
176,23.5,34.45562483317677,8.097071835796541
171,24.59,35.44217890526029,8.715231792803506
174,26.56,34.84337300108511,9.254399869088205
167,27.57,36.27439194020255,10.000849857913844
168,28.57,36.06258731818382,10.303081196805119
163,31.56,37.1478471831225,11.72386057099346
168,32.56,36.06258731818382,11.741978430800655
155,35.77,39.03125831830829,13.961481100458876
161,37.62,37.60100141325775,14.145496731667565
155,42.69,39.03125831830829,16.662444176085806
154,41.53,39.280562074944854,16.3132174297246
149,41.53,40.577685726182594,16.85191288208363
146,48.59,41.39893970465359,20.115744802491182
145,47.56,41.680298998610304,19.82315020373906
142,56.64,42.54832602593904,24.09937186109187
138,57.65,43.764816556704154,25.230416744939944
139,60.63,43.45408606060607,26.346212378545463
135,63.63,44.72481013906385,28.458396691486328
135,68.66,44.72481013906385,30.708054641481237
134,69.72,45.0544211902714,31.41194245385722
132,70.71,45.7287185746478,32.334776904133456
129,75.66,46.77960592562808,35.3934498433302
132,74.67,45.7287185746478,34.145634159689514
130,77.99,46.42388948367962,36.20599140832174
131,77.76,46.073635081889414,35.82685863967721
127,81.68,47.50794106261529,38.80448625994417
129,81.68,46.77960592562808,38.20958212005302
131,84.71,46.073635081889414,39.028976277868516
126,84.74,47.88082806453043,40.57421370188308
123,90.76,49.03606826084098,44.50513555353927
