raw_line
Distancia = 47 mm	|dB| (sin fondo) = 0.80 uT
Distancia = 143 mm	|dB| (sin fondo) = 0.80 uT
Distancia = 146 mm	|dB| (sin fondo) = 5.26 uT
Distancia = 165 mm	|dB| (sin fondo) = 7.56 uT
Distancia = 165 mm	|dB| (sin fondo) = 16.11 uT
Distancia = 167 mm	|dB| (sin fondo) = 16.79 uT
Distancia = 163 mm	|dB| (sin fondo) = 20.28 uT
Distancia = 175 mm	|dB| (sin fondo) = 22.49 uT
Distancia = 174 mm	|dB| (sin fondo) = 22.43 uT
Distancia = 179 mm	|dB| (sin fondo) = 27.54 uT
Distancia = 178 mm	|dB| (sin fondo) = 29.41 uT
Distancia = 189 mm	|dB| (sin fondo) = 29.19 uT
Distancia = 192 mm	|dB| (sin fondo) = 30.69 uT
Distancia = 198 mm	|dB| (sin fondo) = 31.95 uT
Distancia = 198 mm	|dB| (sin fondo) = 32.57 uT
Distancia = 202 mm	|dB| (sin fondo) = 33.57 uT
Distancia = 206 mm	|dB| (sin fondo) = 33.57 uT
Distancia = 211 mm	|dB| (sin fondo) = 33.53 uT
Distancia = 221 mm	|dB| (sin fondo) = 35.73 uT
Distancia = 206 mm	|dB| (sin fondo) = 35.76 uT
Distancia = 215 mm	|dB| (sin fondo) = 39.85 uT
Distancia = 212 mm	|dB| (sin fondo) = 38.65 uT
Distancia = 216 mm	|dB| (sin fondo) = 40.58 uT
Distancia = 217 mm	|dB| (sin fondo) = 39.88 uT
Distancia = 223 mm	|dB| (sin fondo) = 41.80 uT
Distancia = 228 mm	|dB| (sin fondo) = 39.88 uT
Distancia = 231 mm	|dB| (sin fondo) = 42.05 uT
Distancia = 234 mm	|dB| (sin fondo) = 42.74 uT
Distancia = 235 mm	|dB| (sin fondo) = 44.00 uT
Distancia = 236 mm	|dB| (sin fondo) = 44.70 uT
Distancia = 242 mm	|dB| (sin fondo) = 44.05 uT
Distancia = 241 mm	|dB| (sin fondo) = 44.05 uT
Distancia = 244 mm	|dB| (sin fondo) = 44.96 uT
Distancia = 245 mm	|dB| (sin fondo) = 45.67 uT
Distancia = 246 mm	|dB| (sin fondo) = 44.00 uT
Distancia = 251 mm	|dB| (sin fondo) = 45.92 uT
Distancia = 250 mm	|dB| (sin fondo) = 46.93 uT
Distancia = 246 mm	|dB| (sin fondo) = 45.97 uT
Distancia = 252 mm	|dB| (sin fondo) = 45.71 uT
Distancia = 260 mm	|dB| (sin fondo) = 46.88 uT
Distancia = 260 mm	|dB| (sin fondo) = 46.68 uT
Distancia = 259 mm	|dB| (sin fondo) = 46.88 uT
Distancia = 258 mm	|dB| (sin fondo) = 44.75 uT
Distancia = 258 mm	|dB| (sin fondo) = 45.64 uT
Distancia = 259 mm	|dB| (sin fondo) = 48.82 uT
Distancia = 262 mm	|dB| (sin fondo) = 46.64 uT
Distancia = 259 mm	|dB| (sin fondo) = 45.92 uT
Distancia = 260 mm	|dB| (sin fondo) = 45.92 uT
Distancia = 260 mm	|dB| (sin fondo) = 44.70 uT
Distancia = 262 mm	|dB| (sin fondo) = 47.65 uT
Distancia = 260 mm	|dB| (sin fondo) = 45.67 uT
Distancia = 260 mm	|dB| (sin fondo) = 45.92 uT
Distancia = 259 mm	|dB| (sin fondo) = 46.88 uT
Distancia = 264 mm	|dB| (sin fondo) = 45.92 uT
Distancia = 260 mm	|dB| (sin fondo) = 46.88 uT
Distancia = 262 mm	|dB| (sin fondo) = 46.88 uT
Distancia = 262 mm	|dB| (sin fondo) = 44.96 uT
